,jngIfrmpRgsno,brno,crno,corpNm,brandNm,jnghdqrtrsRprsvNm,indutyLclasNm,indutyMlsfcNm,jngBizStrtDate,jngIfrmpRgsDt,yr,ifrmpRlsDocRgsDate,ifrmpRlsDocExstYn
7831,20230838,7351901859,,아이사랑교육연구소,오감브레인,배현진,서비스,기타 서비스,20230401,1686668400000,2023,,N
7832,20230839,8053301042,,알리베르티(ALLIBERTE)한대역점,알리베르티(AL LIBERT?),정태호,외식,서양식,20220421,1686668400000,2023,,N
7833,20230840,4011321227,,명품숯불돼지갈비,명품숯불돼지갈비,장용균,외식,한식,,1686668400000,2023,,N
7834,20230841,1551901709,,바벤티,바벤티(BOBnTEA),우도윤,외식,한식,20221201,1686668400000,2023,,N
7835,20230842,4604400619,,1987신샤브,1987 신샤브,박형근,외식,한식,,1686754800000,2023,,N
7836,20230843,2021273437,,이유있는감자탕,이유있는감자탕,이승현,외식,한식,20230101,1686754800000,2023,,N
7837,20230844,4587000347,,바디소울필라테스,바디소울 필라테스,이상훈,서비스,스포츠 관련,,1686754800000,2023,,N
7838,20230845,3852401264,,이루팜,이루팜,최병화,외식,음료 (커피 외),20220101,1686754800000,2023,,N
7839,20230846,8498802207,2112110028852,(주)스튜디오808,스튜디오808,김지환,서비스,기타 서비스,,1686754800000,2023,,N
7840,20230847,2480202579,,오늘도사시미,오늘도 사시미,박정우,외식,일식,,1686754800000,2023,,N
7841,20230848,2241759575,,민병선부대찌개앤닭볶음탕본점,민병선닭볶음탕,민병선,외식,한식,,1686754800000,2023,,N
7842,20230849,1550302333,,스테이모먼트(staymoment),스테이모먼트,이석민,외식,커피,,1686754800000,2023,,N
7843,20230850,6260802368,,보람찬시니어케어,보람찬 어르신센터 데이케어,최보람,서비스,기타 서비스,,1686668400000,2023,,N
7844,20230851,6260802368,,보람찬시니어케어,보람찬 어르신센터 방문요양,최보람,서비스,기타 서비스,,1686668400000,2023,,N
7845,20230852,7481201287,,막창명가노건,막창명가,석재욱,외식,한식,,1686754800000,2023,,N
7846,20230853,5850102898,,마구로쇼쿠도,오뎅텐쇼쿠,고안나,외식,일식,,1686754800000,2023,,N
7847,20230854,2188601977,1201111135062,(주)프로그로스,짚불맥주,"정윤필, 최종은",외식,주점,20221119,1686668400000,2023,,N
7848,20230855,6968800513,1311110458644,(주)이가네양꼬치,이가네양꼬치,류홍송,외식,중식,20170620,1686754800000,2023,,N
7849,20230856,1802801255,,무이공간,무이공간,김진태,외식,제과제빵,,1686754800000,2023,,N
